CID,SMILES,ESOL_predicted,measured
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,-5.27,-5.6
Ronnel,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.247000000000001,-5.72
methylthiouracil,Cc1cc(=O)[nH]c(=S)[nH]1,-0.547,-2.436
Eugenol,C=CCc1ccc(O)c(OC)c1,-2.675,-1.56
5-Allyl-5-isopropylbarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.706,-1.7080000000000002
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-4.957,-6.176
"1,1-Diethoxyethane ",CCOC(C)OCC,-0.899,-0.43
Clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O,-3.077,-2.338
2-Butoxyethanol,CCCCOCCO,-0.775,-0.42
Quintozene,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.098,-5.82
Flurochloridone,O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1,-4.749,-4.047
Quinoline,c1ccc2ncccc2c1,-2.6630000000000003,-1.3
methyl gallate,COC(=O)c1cc(O)c(O)c(O)c1,-1.913,-1.24
fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-2.418,-1.8
Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,-2.679,-2.8310000000000004
"2,2',3,4,4',5',6-PCB",Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.898,-7.92
alloxan,O=C1NC(=O)C(=O)C(=O)N1,0.436,-1.25
"1,3-Dichloropropane",ClCCCCl,-1.618,-1.62
m-Fluorobromobenzene,Fc1cccc(Br)c1,-3.467,-2.67
p-Chlorobromobenzene,Clc1ccc(Br)cc1,-3.928,-3.63
"2,3-Dimethylbutane",CC(C)C(C)C,-2.584,-3.65
1-Butene,C=CCC,-1.655,-1.94
"2,2',3,4,5,5'-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.343,-7.68
cytosine,Nc1cc[nH]c(=O)n1,0.051,-1.155
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-3.077,-3.04
Propionitrile,CCC#N,-0.2689999999999999,0.28
"O,P'-DDD",Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.007999999999999,-6.51
o-Nitroanisole,COc1ccccc1[N+](=O)[O-],-2.346,-1.96
Prasterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-3.564,-4.12
Procymidone,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-3.464,-4.8
Benzo[ghi]perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-6.446000000000001,-9.018
Dinoseb,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.715,-3.38
meconin,COC1=C(OC)C2C(=O)OCC2C=C1,-0.825,-1.899
Glycerol,OCC(O)CO,0.688,1.12
Guaiacol,COc1ccccc1O,-1.941,-1.96
chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-4.972,-5.67
9-Methylanthracene,Cc1c2ccccc2cc2ccccc12,-4.87,-5.89
Antipyrene,Cc1cc(=O)n(-c2ccccc2)n1C,-1.733,0.715
Methyl butyl ether ,CCCCOC,-1.072,-0.99
7-methylpteridine,Cc1cnc2cncnc2n1,-1.24,-0.8540000000000001
simazine,CCNc1nc(Cl)nc(NCC)n1,-2.8110000000000004,-4.55
"N,N-Dimethylacetamide",CC(=O)N(C)C,0.123,1.11
Simetryn,CSc1nc(N(C)C)nc(N(C)C)n1,-2.689,-2.676
Ethylene,C=C,-0.815,-0.4
"3,3-Dimethyl-1-butanol",CC(C)(C)CCO,-1.365,-0.5
5-Allyl-5-ethylbarbital,C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.368,-1.614
"2,3,4-Trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl,-3.705,-2.67
Anisole,COc1ccccc1,-2.3680000000000003,-1.85
chloropropylate,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-5.093,-4.53
aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.0660000000000003,-3.85
Difenoxuron,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-3.928,-4.16
4-Ethyltoluene,CCc1ccc(C)cc1,-3.3280000000000003,-3.11
Diisopropylsulfide,CC(C)SC(C)C,-2.162,-2.24
"1,3-Dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.281,-2.29
Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.471,-5.54
probarbital,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.6030000000000002,-2.21
cortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,-3.426,-4.21
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,-0.8590000000000001,-1.22
p-Chloroaniline,Nc1ccc(Cl)cc1,-2.392,-1.66
"2,2-Dimethylpentanol",CCCC(C)(C)CO,-1.719,-1.52
Furane,c1ccoc1,-1.837,-0.82
Methoproptryne,COCCCNc1nc(NC(C)C)nc(SC)n1,-3.259,-2.928
Norea,CN(C)C(=O)NC1CC2CC1C1CCCC21,-2.47,-3.1710000000000003
t-Butylbenzene ,CC(C)(C)c1ccccc1,-3.554,-3.66
kebuzone,CC(=O)CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-2.645,-3.27
prednisolone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,-3.507,-4.37
Methyl propyl ether ,CCCOC,-0.718,-0.39
Isopropyl acetate,CC(=O)OC(C)C,-1.1909999999999998,-0.55
Bromobenzene,Brc1ccccc1,-3.345,-2.55
Ethyl-p-hydroxybenzoate ,CCOC(=O)c1ccc(O)cc1,-2.761,-2.35
3-Butanoyloxymethylphenytoin,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.469,-5.071000000000001
testosterone propionate,CCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.87,-5.37
Coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-6.885,-9.332
allopurinol,O=c1[nH]cnc2[nH]ncc12,-0.84,-2.266
Chloroethylene,C=CCl,-1.188,-1.75
diphenamid,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-3.147,-2.98
Tetrabromomethane,BrC(Br)(Br)Br,-4.063,-3.14
RTI 22,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-4.408,-4.871
phthalimide,O=C1NC(=O)c2ccccc21,-1.882,-2.61
Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.1080000000000005,-4.38
Methyl benzoate ,COC(=O)c1ccccc1,-2.462,-1.85
1-methyluracil,Cn1ccc(=O)[nH]c1=O,-0.375,-0.807
oxyphenbutazone,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,-3.739,-3.73
"2,2',3,5'-PCB",Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.155,-6.47
Quinethazone,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-2.184,-3.29
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.301,-3.8
Cyclopentene ,C1=CCCC1,-1.72,-2.1
alloxantin,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,0.919,-1.99
Nonane,CCCCCCCCC,-3.678,-5.88
2-Chlorophenol,Oc1ccccc1Cl,-2.553,-1.06
5-Methylchrysene,Cc1cc2ccccc2c2ccc3ccccc3c12,-5.931,-6.59
Phenetole,CCOc1ccccc1,-2.66,-2.33
ethyl cinnamate,CCOC(=O)C=Cc1ccccc1,-3.0980000000000003,-3.0
Terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-3.033,-2.484
Clonazepam,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-3.707,-3.499
p-Toluenesulfonamide ,Cc1ccc(S(N)(=O)=O)cc1,-1.815,-1.74
Chlorbufam,C#CC(C)OC(=O)Nc1cccc(Cl)c1,-3.629,-2.617
2-Methylheptane,CCCCCC(C)C,-3.3080000000000003,-5.08
Cyhalothrin,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-6.905,-8.176
Apazone,CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,-2.9,-3.5380000000000003
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-4.05,-3.754
2-Methyl-3-pentanol,CCC(O)C(C)C,-1.308,-0.7
fensulfothion,CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1,-3.283,-2.3
borneol,CC1(C)C2CCC1(C)C(O)C2,-2.423,-2.32
Testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3.659,-4.02
Heptane,CCCCCCC,-2.97,-4.53
1-Napthol,Oc1cccc2ccccc12,-3.08,-2.22
"cis-1,2-Dimethylcyclohexane",CC1CCCCC1C,-3.305,-4.3
Trimazosin,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.958,-3.638
Cholanthrene,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-5.942,-7.85
Medrogestone,CC(=O)C1(C)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,-4.593,-5.27
2-Heptanone,CCCCCC(C)=O,-1.554,-1.45
Acephate,COP(=O)(NC(C)=O)SC,-0.416,0.54
DEF,CCCCSP(=O)(SCCCC)SCCCC,-4.074,-5.14
phthalamide,Oc1[nH]c(O)c2ccccc12,-0.636,-2.932
Trichlomethiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.98,-2.68
2-Methy-2-Butene,CC=C(C)C,-1.994,-2.56
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,-3.343,-3.31
"2,4,5-Trichlorophenol ",Oc1cc(Cl)c(Cl)cc1Cl,-3.78,-2.21
phenanthridine,c1ccc2c(c1)cnc1ccccc12,-3.713,-2.78
3-Methyl-3-hexanol,CCCC(C)(O)CC,-1.663,-0.98
Octane,CCCCCCCC,-3.324,-5.24
Anthracene,c1ccc2cc3ccccc3cc2c1,-4.518,-6.35
Phenylhydrazine,NNc1ccccc1,-1.866,0.07
Propionaldehyde,CCC=O,-0.3939999999999999,0.58
Cyclooctane,C1CCCCCCC1,-3.355,-4.15
"5,5-Diallylbarbital",C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-1.471,-2.077
Trichloromethane,ClC(Cl)Cl,-1.812,-1.17
thiouracil,O=c1cc[nH]c(=S)[nH]1,-0.992,-2.273
Pencycuron,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,-5.126,-5.915
1-Methylcyclohexene ,CC1=CCCCC1,-2.574,-3.27
2-Ethylhexanal,CCCCC(C=O)CC,-2.232,-2.13
Khellin,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-3.603,-3.0210000000000004
Benzo(j)fluoranthene,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-6.007000000000001,-8.0
2-Ethylbutanal,CCC(C=O)CC,-1.523,-1.52
Dipropyl ether,CCCOCCC,-1.426,-1.62
1-Tetradecanol,CCCCCCCCCCCCCCO,-4.231,-5.84
"2,3,6-Trichlorophenol",Oc1c(Cl)ccc(Cl)c1Cl,-3.572,-2.64
Urea,NC(N)=O,0.8320000000000001,0.96
1-Pentyne,C#CCCC,-1.446,-1.64
"1,3-Dibromobenzene",Brc1cccc(Br)c1,-4.298,-3.54
1-Octadecanol,CCCCCCCCCCCCCCCCCCO,-5.649,-8.4
Acetanilide,CC(=O)Nc1ccccc1,-1.857,-1.33
hematein,Oc1cc2c(cc1O)=C1c3ccc(O)c(O)c3OCC1(O)C=2,-1.795,-2.7
Isonazid,NNC(=O)c1ccncc1,-0.7170000000000001,0.009
hydroxychlordene,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-4.156000000000001,-5.46
Isopentyl formate,CC(C)CCOC=O,-1.449,-1.52
Acetophenone,CC(=O)c1ccccc1,-2.0780000000000003,-1.28
biquinoline,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-4.9030000000000005,-5.4
Triethyl phosphate,CCOP(=O)(OCC)OCC,-0.953,0.43
D-fenchone,CC12CCC(C1)C(C)(C)C2=O,-2.158,-1.85
7-methoxypteridine,COc1cnc2cncnc2n1,-1.589,-0.91
Chlordene,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.152,-5.64
2-Nitropropane,CC(C)[N+](=O)[O-],-0.743,-0.62
Carbazole,c1ccc2c(c1)[nH]c1ccccc12,-3.836,-5.27
Erythritol,OCC(O)C(O)CO,0.675,0.7
Risocaine,CCCOC(=O)c1ccc(N)cc1,-2.709,-2.452
Azodrin,CNC(=O)C=C(C)OP(=O)(OC)OC,-0.949,0.6509999999999999
Succinimide,Oc1ccc(O)[nH]1,0.282,0.3
"2,3-Dimethylpentane",CCC(C)C(C)C,-2.938,-4.28
bupirimate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-3.4930000000000003,-4.16
RTI 16,CCN1c2ncccc2C(=S)N(C)c2cccnc21,-3.411,-4.634
RTI 9,CCN1C(=O)c2ccccc2Oc2ccccc21,-3.784,-3.68
Tetrahydropyran ,C1CCOCC1,-0.978,-0.03
1-Heptyne,C#CCCCCC,-2.155,-3.01
osthole,COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.0760000000000005,-4.314
3-Methylcholanthrene,Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1,-6.311,-7.92
Ethyl benzoate ,CCOC(=O)c1ccccc1,-2.775,-2.32
1-Chloro-2-methylpropane,CC(C)CCl,-1.924,-2.0
Ethinyl estradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.317,-4.3
methyl laurate,CCCCCCCCCCCC(=O)OC,-4.025,-4.69
Di-n-propylsulfide,CCCSCCC,-2.307,-2.58
Napthacene,c1ccc2cc3cc4ccccc4cc3cc2c1,-5.568,-8.6
1-Bromopentane,CCCCCBr,-2.658,-3.08
trans-2-Heptene ,CC=CCCCC,-2.784,-3.82
Pentylcyclopentane,CCCCCC1CCCC1,-3.869,-6.08
"2,2',3,5,5',6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.261,-7.42
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.232,-2.0
Monolinuron,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.948,-2.57
Cyclohexyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCC2)C(=O)N1,-1.405,-3.06
dimetan,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-2.3040000000000003,-0.85
4-Bromotoluene,Cc1ccc(Br)cc1,-3.667,-3.19
Diethyl ether ,CCOCC,-0.718,-0.09
Rovral,CC(C)NC(=O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,-4.004,-4.376
Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.205,-5.53
"2,4,6-Trimethylphenol",Cc1cc(C)c(O)c(C)c1,-2.9410000000000003,-2.05
Benzene ,c1ccccc1,-2.418,-1.64
p-Chloroiodobenzene,Clc1ccc(I)cc1,-4.384,-4.03
Metoxuron,COc1ccc(NC(=O)N(C)C)cc1Cl,-2.6830000000000003,-2.564
propachlor,CC(C)N(C(=O)CCl)c1ccccc1,-3.018,-2.48
Styrene,C=Cc1ccccc1,-2.85,-2.82
Dimethoxymethane,COCOC,0.092,0.48
o-Xylene ,Cc1ccccc1C,-3.004,-2.8
Butan-2-ol,CCC(C)O,-0.616,0.47
"1,4-Benzenediol",Oc1ccc(O)cc1,-1.59,-0.17
estriol,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,-3.858,-4.955
Benzo(b)fluorene,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-5.189,-8.04
hydantoin,O=c1[nH]cc(O)[nH]1,0.603,-0.4
4-hexylresorcinol,CCCCCCc1ccc(O)cc1O,-3.4930000000000003,-2.59
allicin,C=CCS[S+]([O-])CC=C,-2.045,-0.83
Coumaphos,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,-5.04,-5.382000000000001
"5,6-Dimethylchrysene",Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-6.265,-7.01
Betamethasone-17-valerate,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.062,-4.71
uric acid,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-0.541,-3.93
"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-4.203,-3.1
"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,-3.5580000000000003,-3.04
DDT,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-6.638,-7.15
Isobutyl formate,CC(C)COC=O,-1.095,-1.01
thioanisole,CSc1ccccc1,-2.87,-2.39
RTI 13,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-4.45,-4.207
Hexane ,CCCCCC,-2.615,-3.84
methyl nicotinate,COC(=O)c1cccnc1,-1.621,-0.46
Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.741,-3.59
"2,3,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.425,-7.82
Vinclozolin,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.377,-4.925
Cyanazine,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-2.49,-3.15
Triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21,-5.568,-6.726
Dienestrol,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.775,-4.95
Di(2-ethylhexyl)-phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.117000000000001,-6.96
2-Ethyl pyridine,CCc1ccccn1,-2.051,0.51
Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-3.548,-2.28
Biphenyl,c1ccc(-c2ccccc2)cc1,-4.079,-4.345
"2,2',4,4',6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-7.178999999999999,-8.71
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,-2.492,-3.364
"2,4-Dimethyl-2-pentanol ",CC(C)CC(C)(C)O,-1.6469999999999998,-0.92
Cycloheptyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCCC2)C(=O)N1,-1.844,-3.168
Fructose,OCC1OC(O)(CO)C(O)C1O,0.471,0.64
"3,5-Dimethylphenol",Cc1cc(C)cc(O)c1,-2.652,-1.4
Barban,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.16,-4.37
p-Chloroacetanilide,CC(=O)Nc1ccc(Cl)cc1,-2.642,-2.843
"2,2',3,4,5,5',6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-7.898,-8.94
"2,2-Dimethylbutane",CCC(C)(C)C,-2.584,-3.55
N-Methylaniline ,CNc1ccccc1,-2.097,-1.28
"1,4-Pentadiene ",C=CCC=C,-1.758,-2.09
Hydrocortisone 21-acetate,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,-3.692,-4.88
DNOC,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-2.818,-1.456
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,-3.75,-3.604
3-Chlorophenol,Oc1cccc(Cl)c1,-2.761,-0.7
m-Chlorobromobenzene,Clc1cccc(Br)c1,-3.928,-3.21
chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-1.7519999999999998,-3.05
5-Methyl-5-ethylbarbituric acid,CCC1(C)C(=O)NC(=O)NC1=O,-0.911,-1.228
2-Phenoxyethanol,OCCOc1ccccc1,-1.761,-0.7
Diphenylmethane,c1ccc(Cc2ccccc2)cc1,-4.09,-4.08
3-Octanol,CCCCCC(O)CC,-2.033,-1.98
Flumetralin,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.584,-6.78
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-3.329,-4.43
2-Methylpentanol,CCCC(C)CO,-1.381,-1.11
2-Methyl-2-hexanol,CCCCC(C)(C)O,-1.663,-1.08
Ethylbenzene,CCc1ccccc1,-2.988,-2.77
5-(3-Methyl-2-butenyl)-5-ethylbarbital,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.126,-2.253
Heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-5.26,-6.317
butallylonal,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.766,-2.647
Fenpropathrin,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.15,-6.025
Methoprene,COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,-4.795,-5.19
Ethyl propionate,CCOC(=O)CC,-1.1909999999999998,-0.66
Prometryn,CSc1nc(NC(C)C)nc(NC(C)C)n1,-3.693,-4.1
Buturon,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.199,-3.9
"2,3-Dimethylnaphthalene",Cc1cc2ccccc2cc1C,-4.1160000000000005,-4.72
"2,4',5-PCB",Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-5.7620000000000005,-6.25
"2,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.343,-7.39
2-cyanoguanidine,N#CN=C(N)N,0.361,-0.31
Chloropicrin,O=[N+]([O-])C(Cl)(Cl)Cl,-1.866,-2.0
"2,6-PCB",Clc1cccc(Cl)c1-c1ccccc1,-4.984,-5.21
p-Methoxybenzaldehyde,COc1ccc(C=O)cc1,-2.252,-1.49
4-Nitroacetanilide,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.219,-2.692
Ethyl heptanoate,CCCCCCC(=O)OCC,-2.608,-2.74
p-Hydroxyacetanilide,CC(=O)Nc1ccc(O)cc1,-1.495,-1.03
indazole,c1ccc2[nH]ncc2c1,-2.34,-2.16
triamcinolone acetonide,CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-3.928,-4.31
guanine,Nc1nc(=O)c2[nH]cnc2[nH]1,-0.67,-3.583
Methyl acetate,COC(C)=O,-0.416,0.46
Stanolone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,-3.882,-4.743
1-Hexene-3-ol,C=CC(O)CCC,-1.199,-0.59
norbormide,Oc1[nH]c(O)c2c1C1C=C(C(O)(c3ccccc3)c3ccccn3)C2C1=C(c1ccccc1)c1ccccn1,-4.238,-3.931
Dibutyl ether ,CCCCOCCCC,-2.135,-1.85
1-Dodecanol,CCCCCCCCCCCCO,-3.523,-4.8
RTI 6,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21,-3.335,-3.36
2-Methyl-2-pentanol,CCCC(C)(C)O,-1.308,-0.49
Flucytosine,Nc1[nH]c(=O)ncc1F,-0.132,-0.972
stadacaine,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-5.127999999999999,-3.84
2-Methyl-2-heptanol,CCCCCC(C)(C)O,-2.017,-1.72
Hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C,-4.361000000000001,-5.23
Thymol,Cc1ccc(C(C)C)c(O)c1,-3.129,-2.22
Pteridine,c1cnc2ncncc2n1,-0.906,0.02
Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-3.949,-4.66
Methane,C,-0.636,-0.9
indoline,c1ccc2c(c1)CCN2,-2.195,-1.04
1-Nitronapthalene,O=[N+]([O-])c1cccc2ccccc12,-3.414,-3.54
3-Methyl-2-pentanone,CCC(C)C(C)=O,-1.266,-0.67
isoguanine,Nc1[nH]c(=O)nc2[nH]cnc12,-1.74,-3.401
bromadiolone,O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,-7.877000000000001,-4.445
Nitromethane,C[N+](=O)[O-],-0.042,0.26
Triallate,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.578,-4.88
"1,5-Hexadiene ",C=CCCC=C,-2.112,-2.68
Indole,c1ccc2[nH]ccc2c1,-2.654,-1.52
Androstenedione,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-3.393,-3.69
1-Hexene,C=CCCCC,-2.364,-3.23
Xipamide,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.642,-3.79
Ethylcyclohexane,CCC1CCCCC1,-3.245,-4.25
2-Nonanone,CCCCCCCC(C)=O,-2.263,-2.58
Mebendazole,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,-4.118,-3.88
Chloropham,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.544,-3.38
RTI 12,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-3.446,-4.114
Carbaryl,CNC(=O)Oc1cccc2ccccc12,-3.087,-3.224
Ethyne,C#C,-0.252,0.29
"3,5-Dimethylpyridine",Cc1cncc(C)c1,-2.0980000000000003,0.38
"1,4-Cyclohexadiene",C1=CCC=CC1,-1.842,-2.06
Mecarbam,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-3.738,-2.518
1-Phenylethanol,CC(O)c1ccccc1,-1.919,-0.92
"1,2-Dichloropropane",CC(Cl)CCl,-1.794,-1.6
2-Ethyl-2-hexanal,CCCC=C(C=O)CC,-2.081,-2.46
Disulfoton,CCOP(=S)(OCC)SCCSCC,-3.975,-4.23
methyltestosterone acetate,CC(=O)OC1(C)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-4.863,-5.284
"2,4,6-PCB",Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-5.604,-6.14
difluron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-4.692,-6.02
Triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-5.645,-4.46
diisooctyl phthalate,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-7.117000000000001,-6.6370000000000005
Corticosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.454,-3.24
